"ano_campeonato","data","rodada","estadio","publico","time_mandante","time_visitante","tecnico_mandante","tecnico_visitante","colocacao_mandante","colocacao_visitante","valor_equipe_titular_mandante","valor_equipe_titular_visitante","idade_media_titular_mandante","idade_media_titular_visitante","gols_mandante","gols_visitante","gols_1_tempo_mandante","gols_1_tempo_visitante"
2023,"2023-07-22",16,"Arena Pantanal",34072,"Cuiabá-MT","São Paulo","Toni Oliveira","Dorival Júnior",12,6,810,3630,28.3,26.2,2,1,0,0
2023,"2023-08-06",18,"Arena Fonte Nova",34313,"EC Bahia","América-MG","Renato Paiva","Vagner Mancini",16,20,2485,923,28.9,30.2,3,1,1,0
2023,"2023-08-27",21,"Estádio Governador Plácido Castelo",12467,"Fortaleza","Coritiba FC","Juan Pablo Vojvoda","Thiago Kosloski",8,19,1255,1870,29.8,26.7,3,1,2,0
2023,"2023-09-15",23,"Estádio Governador Plácido Castelo",32690,"Fortaleza","Corinthians","Juan Pablo Vojvoda","Vanderlei Luxemburgo",8,14,1135,3605,30.8,25.4,2,1,1,1
2023,"2023-05-07",4,"Arena Fonte Nova",37936,"EC Bahia","Coritiba FC","Renato Paiva","Antônio Carlos Zago",9,19,1875,1480,26.8,27.9,3,1,1,0
2023,"2023-05-20",7,"Arena Fonte Nova",32519,"EC Bahia","Goiás","Renato Paiva","Émerson Ávila",13,16,1920,1095,26.6,27.9,1,1,1,1
2023,"2023-09-03",22,"Arena Fonte Nova",46705,"EC Bahia","Vasco da Gama","Renato Paiva","Ramón Díaz",16,18,2415,2795,29.1,28.2,1,1,1,0
2023,"2023-11-12",34,"Arena Fonte Nova",33978,"EC Bahia","Athletico-PR","Rogério Ceni","Wesley Carvalho",17,7,2685,2790,27.9,27.6,1,1,0,0
2023,"2023-11-30",36,"Arena Fonte Nova",46288,"EC Bahia","São Paulo","Rogério Ceni","Dorival Júnior",17,9,2805,2860,27.6,28.3,0,1,0,0
2023,"2023-12-07",38,"Arena Fonte Nova",28019,"EC Bahia","Atlético-MG","Rogério Ceni","Luiz Felipe Scolari",16,3,2705,4330,27.6,30.4,4,1,2,1
2023,"2023-05-02",3,"Estádio São Januário",19223,"Vasco da Gama","EC Bahia","Maurício Barbieri","Renato Paiva",9,16,5020,2225,25.3,27,0,1,0,1
2023,"2023-05-14",6,"Estádio São Januário",19108,"Vasco da Gama","Santos","Maurício Barbieri","Odair Hellmann",16,7,3490,2940,24.5,25.6,0,1,0,1
2023,"2023-06-23",11,"Estádio São Januário",17647,"Vasco da Gama","Goiás","Maurício Barbieri","Armando Evangelista",19,17,3610,1030,23.9,28.2,0,1,0,0
2023,"2023-07-08",14,"Estádio São Januário",0,"Vasco da Gama","Cruzeiro","William Batista","Pepa",19,9,2400,1690,25.3,27.1,0,1,0,1
2023,"2023-09-22",24,"Estádio São Januário",20321,"Vasco da Gama","Coritiba FC","Ramón Díaz","Thiago Kosloski",15,20,2800,1515,28.8,29.4,5,1,2,0
2023,"2023-11-12",34,"Estádio São Januário",19478,"Vasco da Gama","América-MG","","",15,20,2345,730,28.7,30,2,1,1,1
2023,"2023-12-07",38,"Estádio São Januário",20037,"Vasco da Gama","RB Bragantino","Ramón Díaz","Pedro Caixinha",15,6,3075,4030,28.8,25.4,2,1,1,0
2023,"2023-11-04",32,"Estádio Municipal Parque do Sabiá",5706,"América-MG","Atlético-MG","Fabián Bustos","Luiz Felipe Scolari",20,6,620,5090,30.8,28.4,1,1,0,0
2023,"2023-04-16",1,"Neo Química Arena ",41304,"Corinthians","Cruzeiro","Fernando Lázaro","Pepa",7,13,5120,2090,27.6,28.7,2,1,0,0
2023,"2023-05-09",4,"Neo Química Arena ",36512,"Corinthians","Fortaleza","Vanderlei Luxemburgo","Juan Pablo Vojvoda",15,4,3340,1310,27.2,29.9,1,1,0,0
2023,"2023-05-14",6,"Neo Química Arena ",41434,"Corinthians","São Paulo","Vanderlei Luxemburgo","Dorival Júnior",17,10,4785,2590,27.2,28.4,1,1,1,1
2023,"2023-06-10",10,"Neo Química Arena ",40512,"Corinthians","Cuiabá-MT","Vanderlei Luxemburgo","Toni Oliveira",16,14,3625,708,26.2,27.9,1,1,0,0
2023,"2023-07-02",13,"Neo Química Arena ",42404,"Corinthians","RB Bragantino","Vanderlei Luxemburgo","Pedro Caixinha",16,5,3875,2600,26.1,25.7,0,1,0,1
2023,"2023-07-29",17,"Neo Química Arena ",0,"Corinthians","Vasco da Gama","Vanderlei Luxemburgo","Ramón Díaz",14,19,4690,3690,28.7,26.3,3,1,1,0
2023,"2023-08-13",19,"Neo Química Arena ",42171,"Corinthians","Coritiba FC","Vanderlei Luxemburgo","Thiago Kosloski",13,19,3630,1475,28.5,28.9,3,1,0,1
2023,"2023-08-27",21,"Neo Química Arena ",37316,"Corinthians","Goiás","Vanderlei Luxemburgo","Armando Evangelista",12,15,3305,963,25.4,28.4,1,1,0,0
2023,"2023-10-08",26,"Neo Química Arena ",40800,"Corinthians","Flamengo","Mano Menezes","Mário Jorge",14,5,4440,7900,28.4,27.8,1,1,0,0
2023,"2023-10-22",28,"Neo Química Arena ",38121,"Corinthians","América-MG","Mano Menezes","Fabián Bustos",15,20,4360,785,27.4,30.3,1,1,0,1
2023,"2023-10-29",30,"Neo Química Arena ",42248,"Corinthians","Santos","Mano Menezes","Marcelo Fernandes",14,16,4050,4140,31.5,28,1,1,0,0
2023,"2023-11-09",33,"Neo Química Arena ",30348,"Corinthians","Atlético-MG","Mano Menezes","Luiz Felipe Scolari",15,6,3910,5790,30.1,27.6,1,1,1,0
2023,"2023-04-29",3,"Estádio Major Antônio Couto Pereira",25210,"Coritiba FC","São Paulo","Antônio Carlos Zago","Dorival Júnior",19,8,1580,3180,27,26.3,1,1,1,0
2023,"2023-05-12",5,"Estádio Major Antônio Couto Pereira",20880,"Coritiba FC","Vasco da Gama","Antônio Carlos Zago","Maurício Barbieri",19,14,1640,4970,27.6,25.5,1,1,1,0
2023,"2023-06-23",11,"Estádio Major Antônio Couto Pereira",25983,"Coritiba FC","Internacional","Antônio Carlos Zago","Mano Menezes",20,8,1810,2795,26.3,29.3,0,1,0,0
